MinistryName,MinisterName,EventDate,EventTitle,EventLocation,EventParticipants
Ministério da Economia,Paulo Guedes,2020-03-09 18:30,"Reunião semanal com a secretaria especial de Comércio Exterior e Assuntos Internacionais substituta, Yana Dumaresq (Cancelada)",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Substituto ', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos   ', 'Samuel Kinoshita - Assessor Especial ', 'Marcelo Siqueira - Assessor Especial do Ministro ', 'Rafaelo Abritta - Assessor Especial do Ministro', 'Lucas Ferraz - Secretário de Comércio Exterior ', 'Erivaldo Gomes - Secretário de Assuntos Econômicos Internacionais', 'Carlos Pio - Secretário Executivo CAMEX ', 'Rodrigo Godinho - Assessor para Assuntos Econômicos e Internacionais ', 'Marcelo Souza - Diretor de Programa da SE', 'Kelvia Albuquerque - Diretora de Programa da SE', '']"
Ministério da Economia,Paulo Guedes,2020-03-02 10:00,Reunião-geral de secretários do Ministério da Economia,Local: Ministério da Economia – Bloco P,"['Daniella Marques - Chefe da Assessora Especial de Assuntos Estratégicos', 'Marcelo Guaranys - Secretário Executivo', 'Miguel Ragone - Secretário Executivo', 'Adjunto ', 'Cinara Lima - Chefe de Gabinete do Ministro da Economia', 'Ricardo Soriano - Procurador-Geral da Fazenda Adjunto', 'Ana Paula Bittencourt - Subprocuradora-Geral da Fazenda Nacional', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial de Fazenda', 'Jeferson Bittencourt - Secretário Especial de Fazenda', 'Adjunto', 'Adolfo Sachsida - Secretário de Política Econômica', 'Mansueto Almeida - Secretário do Tesouro Nacional', 'Carlos Da Costa - Secretário Especial de Produtividade e Competitividade', 'Bruno Portela - Secretário Especial Adjunto de Produtividade e Competitividade', 'Substituto', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais', 'Yana Dumaresq - Secretária Especial do Comércio Exterior e Assuntos Internacionais - Adjunta', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Gleisson Rubin - Secretário Especial de Desburocratização', 'Gestão e Governo Digital - Adjunto', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Idalício Silva - Secretário Especial de Desestatização', 'Desinvestimento e Mercados- Adjunto', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Bruno Travassos - Chefe da Assessoria  Especial  de Assuntos Parlamentares', 'Vitor Saback - Assessor Especial do Ministro', 'Aloísio Araújo - Assessor Especial do Ministro', 'Samuel Kinoshita - Assessor Especial do Ministro em SP', 'Rafaelo Abritta\t- Assessor Especial do Ministro', 'Guilherme Afif - Assessor Especial do Ministro', 'Caio Megale - Diretor de Programa', 'Esteves Colnago - Chefe da Assessoria Especial de Relações Institucionais', 'Gabriela Valente - Chefe da Assessoria Especial de Comunicação Social', '']"
Ministério da Economia,Paulo Guedes,2020-03-02 12:00,Almoço com os secretários especiais,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys  - Secretário-Executivo', 'Daniella Marques – Chefe da Assessoria Especial de Assuntos Estratégicos', 'José Levi - Procurador-Geral da Fazenda Nacional', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Carlos Da Costa      - Secretário Especial de Produtividade e Competitividade', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais ', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital ', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho ', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Esteves Colnago - Secretário Adjunto da Secretaria Especial da Fazenda ', 'Marcelo Siqueira - Assessor Especial do Ministro ', 'Samuel Kinoshita - Assessor Especial do Ministro em SP', 'Aloísio Araújo  - Assessor Especial do Ministro ', 'Guilherme Afif  - Assessor Especial do Ministro']"
Ministério da Economia,Paulo Guedes,2020-03-02 14:00,"Reunião com o presidente da República, Jair Bolsonaro",Local: Palácio do Planalto,N/A
Ministério da Economia,Paulo Guedes,2020-03-02 16:30,"Reunião com o secretário especial da Receita Federal, José Tostes",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Vanessa Canado  - Assessora Especial para Assuntos Parlamentares']"
Ministério da Economia,Paulo Guedes,2020-03-02 17:30,"Reunião semanal com o secretário especial de Fazenda, Waldery Rodrigues",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys  - Secretário Executivo ', 'Miguel Ragone         - Secretário Executivo Adjunto', 'Jeferson Bittencourt - Secretário Especial da Fazenda Adjunto', 'Caio Megale - Diretor de Programa ', 'Adolfo Sachsida  - Secretário de Política Econômica', 'Vladimir Teles - Secretário de Política Econômica Adjunto', 'Aumara Feu - Secretaria de Avaliação', 'Planejamento', 'Energia e Loteria Adjunta', 'Mansueto Almeida - Secretário do Tesouro Nacional ', 'Otavio Ladeira - Secretário do Tesouro Nacional Adjunto', 'Bruno Funchal - Diretor de Programa', 'Julio Cesar Costa Pinto - Diretor de Programa', 'Gustavo Guimarães - Diretor de Programa', 'George Soares  - Secretário de Orçamento Federal - SOF', 'Gustavo Lobo  - Diretor de Programa da SE ', 'Marcelo Siqueira  - Assessor Especial do Ministro ', 'Rafaelo Abritta  - Assessor Especial do Ministro', '']"
Ministério da Economia,Paulo Guedes,2020-03-02 19:00,"Reunião semanal com o secretário de Desestatização, Desinvestimento e Mercados, Salim Mattar",Local: Ministério da Economia – Bloco P,"['Marcelo Siqueira - Assessor Especial do Ministro ', 'Rafaelo Abritta - Assessor Especial do Ministro ', 'Waldery Rodrigues - Secretário Especial de Fazenda', 'Miguel Ragone - Secretário-Executivo Adjunto', 'Jose Levi - Procurador Geral da Fazenda', 'Ana Paulo Bittencourt - Procuradora Geral da Fazenda Adjunta', 'George Soares - Secretário de Orçamento Federal', 'Idalício Silva - Secretário-adjunto SEDDM', 'Amaro Gomes - Secretário SEST', 'Igor Matos - Assessor/SEDDM', 'Bruno Westing - Diretor SEDDM', 'Daniel Cunha - Diretor SEDDM', 'Danilo Medeiros - Diretor de Programa substituto SEDDM', 'Caio Megale - Diretor de Programa', 'André Garcia - Diretor de Programa SE/ME', '']"
Ministério da Economia,Paulo Guedes,2020-03-12 10:00,Reunião com os secretários do Ministério da Economia,N/A,"['Marcelo Pacheco dos Guaranys - Secretário Executivo SE/ME', 'Miguel Ragone de Mattos - Secretário Executivo Adjunto SE/ME', 'Daniella Marques Consentino - Chefe da Assessoria Especial de Assuntos Estratégicos ME ', 'Cinara Lima – Chefe de Gabinete do Ministro da Economia ', 'José Levi - Procurador-Geral da PGFN  ', 'José Barroso Tostes Neto - Secretário Especial da Receita Federal do Brasil ', 'Waldery Rodrigues – Secretário Especial da Fazenda ', 'Mansueto Almeida – Secretário do Tesouro Nacional ', 'Bruno Bianco Leal - Secretário Especial de Previdência e Trabalho ', 'Carlos Alexandre Jorge Da Costa - Secretário Especial de Produtividade', 'Emprego e Competitividade ', 'Paulo Antônio Spencer Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital ', 'Tolio Edeo Ribeiro - Subsecretário de Desenvolvimento da Indústria', 'Comércio', 'Serviços e Inovação/SEPEC', 'Adolfo Sachsida  -Secretário de Política Econômica da Fazenda', 'Esteves Pedro Colnago Junior - Chefe da Assessoria Especial de Relações Institucionais ', 'Marcelo Siqueira - Chefe da Assessoria Especial do Ministro']"
Ministério da Economia,Paulo Guedes,2020-03-12 11:30,"Reunião com o secretário especial de Produtividade, Emprego e Competitividade, Carlos Da Costa",Local: Ministério da Economia – Bloco P,"['Daniella Marques – Chefe da Assessoria Especial de Assuntos Estratégicos', 'Ronaldo Neves de Moura - Chefe de Gabinete da Agência Nacional de Telecomunicações', 'Egon Cervieri – Assessor da Agência Nacional de Telecomunicações', 'Marcelo Guaranys – Secretário Executivo', 'Diogo Mac Cord – Secretário de Desenvolvimento da Infraestrutura ', 'Cesar Mattos - Secretário de Advocacia da Concorrência e Competitividade', 'Yana Dumaresq – Secretária Especial do Comércio Exterior e Assuntos Internacionais', 'Adjunta', 'Martha Seillier - Secretária Especial do Programa de Parcerias de Investimentos – SPPI', 'Marcelo Siqueira – Chefe da Assessoria Especial do Ministro', 'Marcelo Souza – Diretor de Programa da SE (a pedido da SE)', 'Lua Selene da Silva Almeida – Assessora da Secretaria Especial do Programa de Parcerias de Investimentos - SPPI', 'Elisa Fraga - Assessora da SECINT', '']"
Ministério da Economia,Paulo Guedes,2020-03-12 14:30,Audiência com a professora Rita de La Feria – Leeds Universty,Local: Ministério da Economia – Bloco P,N/A
